step,time_s,n_mobile,n_bank,mobile_mass_kg,bank_mass_kg,mean_vz_bank_m_s,mean_speed_bank_m_s,ke_trans_J,ke_rot_J,sum_contact_count,max_contact_count,z10_m,z50_m,z90_m
2.000000000000000000e+05,4.000000000000000083e-02,6.180600000000000000e+04,4.751900000000000000e+04,1.110062998650000054e-04,8.537432775099999122e-05,-3.237237007725820015e-01,3.750377860318803713e-01,8.804281542462099556e-06,6.631481725042811630e-07,2.640000000000000000e+02,2.000000000000000000e+00,1.643180000000000335e-02,2.285684999999999800e-02,2.950499999999999998e-02
2.200000000000000000e+05,4.399999999999999745e-02,6.285500000000000000e+04,5.393400000000000000e+04,1.129242271599999897e-04,9.689360994000000525e-05,-3.243327576061277862e-01,3.740131377967969017e-01,9.029299839928999524e-06,7.464507876533286485e-07,3.810000000000000000e+02,2.000000000000000000e+00,1.497700000000000073e-02,2.235610000000000028e-02,2.815760000000000138e-02
2.400000000000000000e+05,4.800000000000000100e-02,7.144500000000000000e+04,5.870200000000000000e+04,1.283380152299999904e-04,1.054363695700000079e-04,-3.228226227794078196e-01,3.710031793946134138e-01,1.009647237002909998e-05,7.725857874332760157e-07,3.900000000000000000e+02,2.000000000000000000e+00,1.434886000000000147e-02,2.215260000000000146e-02,2.880225999999999967e-02
2.600000000000000000e+05,5.199999999999999761e-02,7.115400000000000000e+04,6.346300000000000000e+04,1.278314818040000064e-04,1.140457357959999987e-04,-3.211667409521532512e-01,3.678374438024055171e-01,1.003454587125390181e-05,8.133644650134423824e-07,4.390000000000000000e+02,2.000000000000000000e+00,1.301871000000000105e-02,2.112114999999999826e-02,2.713232000000000144e-02
2.800000000000000000e+05,5.599999999999999423e-02,7.964600000000000000e+04,6.836100000000000000e+04,1.430986174390000247e-04,1.227160883120000014e-04,-3.232492386402972540e-01,3.676011234064990862e-01,1.126544844358500016e-05,8.291549132607108823e-07,4.300000000000000000e+02,2.000000000000000000e+00,1.214865000000000042e-02,2.089799999999999991e-02,2.781655000000000239e-02
3.000000000000000000e+05,5.999999999999999778e-02,8.741100000000000000e+04,7.157000000000000000e+04,1.568395265909999791e-04,1.284341177689999800e-04,-3.167706864848510717e-01,3.611414010737972746e-01,1.208252075067930182e-05,8.331805492467931935e-07,5.000000000000000000e+02,2.000000000000000000e+00,1.132969999999999984e-02,2.070800000000000071e-02,2.837550000000000142e-02
3.200000000000000000e+05,6.400000000000000133e-02,8.636500000000000000e+04,7.666300000000000000e+04,1.549042707169999845e-04,1.376524410800000146e-04,-3.187267812622044394e-01,3.612801510203111355e-01,1.200916931261550052e-05,8.545686595266097680e-07,6.050000000000000000e+02,2.000000000000000000e+00,1.028504000000000050e-02,1.941259999999999861e-02,2.680835999999999983e-02
3.400000000000000000e+05,6.799999999999999101e-02,9.341300000000000000e+04,7.898700000000000000e+04,1.675956700499999787e-04,1.417617860819999894e-04,-3.160685362076367522e-01,3.576496310169012816e-01,1.284438587928040213e-05,8.460629488488458033e-07,5.300000000000000000e+02,2.000000000000000000e+00,9.571417999999999940e-03,1.916280000000000067e-02,2.768239999999999937e-02
3.600000000000000000e+05,7.199999999999999456e-02,9.194100000000000000e+04,8.241700000000000000e+04,1.649422747520000215e-04,1.478347159270000102e-04,-3.133455127509430227e-01,3.548863507749558943e-01,1.256227381465800068e-05,8.571461738162558034e-07,6.330000000000000000e+02,2.000000000000000000e+00,8.503339999999999857e-03,1.843950000000000103e-02,2.645530000000000104e-02
3.800000000000000000e+05,7.599999999999999811e-02,9.893000000000000000e+04,8.620900000000000000e+04,1.775166885140000309e-04,1.546293302949999955e-04,-3.150075729653780687e-01,3.541399088053462929e-01,1.346361601512010028e-05,8.480421396251093018e-07,6.990000000000000000e+02,2.000000000000000000e+00,8.013578000000002102e-03,1.841399999999999981e-02,2.704120000000000135e-02
4.000000000000000000e+05,8.000000000000000167e-02,1.054430000000000000e+05,8.691000000000000000e+04,1.891002837639999977e-04,1.558454725840000324e-04,-3.094149217730238210e-01,3.489865002725665577e-01,1.408155440406770099e-05,8.378911265557855940e-07,6.300000000000000000e+02,2.000000000000000000e+00,7.464066000000000103e-03,1.840280000000000041e-02,2.803158000000000039e-02
4.200000000000000000e+05,8.399999999999999134e-02,1.029970000000000000e+05,8.980700000000000000e+04,1.846792214530000196e-04,1.610106221230000122e-04,-3.086509838768532465e-01,3.477036600193599836e-01,1.374842877418616930e-05,8.419216201654156990e-07,7.900000000000000000e+02,2.000000000000000000e+00,6.805760000000000108e-03,1.752540000000000001e-02,2.652604000000000073e-02
4.400000000000000000e+05,8.799999999999999489e-02,1.089180000000000000e+05,9.053500000000000000e+04,1.953135671570000126e-04,1.622766962630000167e-04,-3.060562622548919642e-01,3.445151967897032153e-01,1.439498770799290199e-05,8.153942969423500055e-07,7.510000000000000000e+02,2.000000000000000000e+00,6.675403999999999366e-03,1.764254999999999990e-02,2.737316000000000055e-02
4.600000000000000000e+05,9.199999999999999845e-02,1.056280000000000000e+05,9.223400000000000000e+04,1.893641470509999829e-04,1.652629328220000138e-04,-3.026730540181853391e-01,3.409326839836091527e-01,1.367547683210390426e-05,8.181200337284432362e-07,8.240000000000000000e+02,2.000000000000000000e+00,6.403805999999999735e-03,1.675360000000000044e-02,2.612650000000000042e-02
4.800000000000000000e+05,9.600000000000000200e-02,1.113550000000000000e+05,9.474000000000000000e+04,1.996990034280000036e-04,1.698095459879999964e-04,-3.046962091027000108e-01,3.415164144551832703e-01,1.440029569798839763e-05,8.056071332795654491e-07,7.890000000000000000e+02,2.000000000000000000e+00,6.305593999999999436e-03,1.702659999999999937e-02,2.680292000000000091e-02
5.000000000000000000e+05,9.999999999999999167e-02,1.163500000000000000e+05,9.441500000000000000e+04,2.086526149230000053e-04,1.692369614709999745e-04,-2.992192028889413269e-01,3.367437663973359419e-01,1.483820789098449973e-05,7.993639389512051590e-07,8.680000000000000000e+02,2.000000000000000000e+00,6.271552000000000550e-03,1.726860000000000200e-02,2.769931999999999950e-02
5.200000000000000000e+05,1.039999999999999952e-01,1.123430000000000000e+05,9.659800000000000000e+04,2.014413759009999545e-04,1.730884067359999764e-04,-2.981235909252023530e-01,3.356899132529174712e-01,1.413912291658179939e-05,8.014861708306022971e-07,9.260000000000000000e+02,3.000000000000000000e+00,6.032253999999999915e-03,1.639749999999999888e-02,2.631237999999999980e-02
5.400000000000000000e+05,1.079999999999999988e-01,1.171240000000000000e+05,9.713800000000000000e+04,2.100459128819999856e-04,1.739688479800000325e-04,-2.978098800296032911e-01,3.347013067331652825e-01,1.467523608417377192e-05,7.906331182068508068e-07,9.430000000000000000e+02,2.000000000000000000e+00,6.024375999999999690e-03,1.668789999999999857e-02,2.703704000000000177e-02
5.600000000000000000e+05,1.119999999999999885e-01,1.218270000000000000e+05,9.777300000000000000e+04,2.185590605430000083e-04,1.750917765190000014e-04,-2.943728351664398613e-01,3.321608509653649621e-01,1.502294220289802959e-05,7.871411673147941743e-07,1.025000000000000000e+03,3.000000000000000000e+00,5.992372000000000150e-03,1.697380000000000069e-02,2.802740000000000092e-02
5.800000000000000000e+05,1.159999999999999920e-01,1.176430000000000000e+05,9.953400000000000000e+04,2.109647166979999736e-04,1.782419377969999847e-04,-2.958512211644518386e-01,3.330967647458646930e-01,1.451521024532439939e-05,8.003864595022504114e-07,9.470000000000000000e+02,2.000000000000000000e+00,5.712894000000000479e-03,1.609920000000000101e-02,2.657827999999999927e-02
6.000000000000000000e+05,1.199999999999999956e-01,1.216030000000000000e+05,9.860400000000000000e+04,2.180542946600000094e-04,1.764754526909999950e-04,-2.936083208438715619e-01,3.304276850249530662e-01,1.492817538033299969e-05,7.720797308195625461e-07,1.004000000000000000e+03,3.000000000000000000e+00,5.637576000000000045e-03,1.634640000000000051e-02,2.728169999999999901e-02
6.200000000000000000e+05,1.239999999999999991e-01,1.171740000000000000e+05,9.961200000000000000e+04,2.100134138179999914e-04,1.783518306599999996e-04,-2.923674382773629454e-01,3.292686004001543210e-01,1.427561292982718268e-05,7.847799013694762233e-07,1.151000000000000000e+03,2.000000000000000000e+00,5.380728999999999894e-03,1.546584999999999974e-02,2.605390000000000136e-02
6.400000000000000000e+05,1.280000000000000027e-01,1.210710000000000000e+05,1.000360000000000000e+05,2.170251867520000166e-04,1.791794933999999882e-04,-2.934094913391050996e-01,3.300612149189169342e-01,1.479548132687329972e-05,7.667314081769343925e-07,1.048000000000000000e+03,3.000000000000000000e+00,5.425560000000000278e-03,1.586129999999999832e-02,2.681899999999999909e-02
6.600000000000000000e+05,1.320000000000000062e-01,1.251050000000000000e+05,9.940500000000000000e+04,2.242839872210000240e-04,1.780648749950000068e-04,-2.897585186348051178e-01,3.269852460728668309e-01,1.516150234892449841e-05,7.739907423020004942e-07,1.158000000000000000e+03,3.000000000000000000e+00,5.462764000000001029e-03,1.626199999999999868e-02,2.779476000000000169e-02
6.800000000000000000e+05,1.359999999999999820e-01,1.201230000000000000e+05,1.007390000000000000e+05,2.152794930180000111e-04,1.803796243499999929e-04,-2.913459018665462974e-01,3.283089990504122202e-01,1.454494777976330042e-05,7.872266586773686372e-07,1.133000000000000000e+03,3.000000000000000000e+00,5.306598000000000911e-03,1.545939999999999988e-02,2.645138000000000003e-02
7.000000000000000000e+05,1.399999999999999856e-01,1.236870000000000000e+05,9.976200000000000000e+04,2.216838202239999921e-04,1.786822248299999895e-04,-2.897965158413834952e-01,3.266827400524628389e-01,1.498043777859500020e-05,7.627143788896441881e-07,1.048000000000000000e+03,3.000000000000000000e+00,5.345812000000000133e-03,1.585119999999999932e-02,2.712646000000000154e-02
7.200000000000000000e+05,1.439999999999999891e-01,1.188240000000000000e+05,1.004220000000000000e+05,2.129318904279999946e-04,1.798272087249999825e-04,-2.892918597199777841e-01,3.265365756124931074e-01,1.427847318642640030e-05,7.814725260885529803e-07,1.014000000000000000e+03,2.000000000000000000e+00,5.135199000000000014e-03,1.512339999999999865e-02,2.591753999999999933e-02
7.400000000000000000e+05,1.479999999999999927e-01,1.225230000000000000e+05,1.015650000000000000e+05,2.194682316739999780e-04,1.819070288750000253e-04,-2.928379202074862797e-01,3.289988694135891345e-01,1.480704949307540005e-05,7.686029093386313889e-07,1.122000000000000000e+03,2.000000000000000000e+00,5.189995999999999672e-03,1.551079999999999993e-02,2.671627999999999850e-02
7.600000000000000000e+05,1.519999999999999962e-01,1.266730000000000000e+05,9.986900000000000000e+04,2.268679466359999834e-04,1.787444456819999809e-04,-2.892330396222311251e-01,3.263000571114200166e-01,1.523653208717510095e-05,7.685927835835539383e-07,1.048000000000000000e+03,3.000000000000000000e+00,5.221388000000000418e-03,1.600129999999999955e-02,2.769978000000000024e-02
7.800000000000000000e+05,1.559999999999999998e-01,1.215410000000000000e+05,1.009770000000000000e+05,2.176752102280000122e-04,1.807720861569999879e-04,-2.906127724674318902e-01,3.278883053489954347e-01,1.462603109475530071e-05,7.814211601351289043e-07,1.145000000000000000e+03,2.000000000000000000e+00,5.041679999999999773e-03,1.526609999999999946e-02,2.636650000000000105e-02
8.000000000000000000e+05,1.600000000000000033e-01,1.250560000000000000e+05,1.004460000000000000e+05,2.240310560200000235e-04,1.798145824750000462e-04,-2.903313508824273970e-01,3.271246115370143870e-01,1.511548577706120059e-05,7.675972544021465299e-07,1.086000000000000000e+03,2.000000000000000000e+00,5.150590000000000029e-03,1.567715000000000081e-02,2.707165000000000266e-02
8.200000000000000000e+05,1.639999999999999791e-01,1.197940000000000000e+05,1.009420000000000000e+05,2.145626252540000067e-04,1.806846816100000160e-04,-2.888898601584127257e-01,3.264568024604128094e-01,1.433607559498150031e-05,7.776834512440326119e-07,1.085000000000000000e+03,2.000000000000000000e+00,5.037986000000000374e-03,1.506914999999999991e-02,2.585656999999999886e-02
