step,time_s,n_contacts,n_grain_contacts,n_tube_contacts,force_p50_N,force_p90_N,force_p99_N,d_force_p50_um_chi0p2,d_force_p90_um_chi0p2,d_force_p99_um_chi0p2
2.000000000000000000e+05,4.000000000000000083e-02,1.540000000000000000e+02,1.420000000000000000e+02,1.200000000000000000e+01,6.404270000000000264e-05,2.155567000000001244e-04,3.498915399999999714e-04,2.669867774720288689e-02,3.998116980679776444e-02,4.741312029550689977e-02
2.200000000000000000e+05,4.399999999999999745e-02,1.890000000000000000e+02,1.760000000000000000e+02,1.300000000000000000e+01,7.702520000000000243e-05,2.135650000000000872e-04,2.976938800000001944e-04,2.838828208886731014e-02,3.943623345710237788e-02,4.445048471070633944e-02
2.400000000000000000e+05,4.800000000000000100e-02,2.040000000000000000e+02,1.910000000000000000e+02,1.300000000000000000e+01,6.453199999999999811e-05,1.822924000000001590e-04,3.191571599999999914e-04,2.697371830736963044e-02,3.893921834555445077e-02,4.665670827750392768e-02
2.600000000000000000e+05,5.199999999999999761e-02,2.150000000000000000e+02,2.050000000000000000e+02,1.000000000000000000e+01,6.447840000000000255e-05,1.990917999999999291e-04,3.656054399999995636e-04,2.603787547516290060e-02,3.872620577532318031e-02,4.812721938808783156e-02
2.800000000000000000e+05,5.599999999999999423e-02,2.480000000000000000e+02,2.250000000000000000e+02,2.300000000000000000e+01,6.370594999999999947e-05,1.845625000000000206e-04,3.584893600000000008e-04,2.657301838300373670e-02,3.796736646835897205e-02,4.756847449788444149e-02
3.000000000000000000e+05,5.999999999999999778e-02,2.760000000000000000e+02,2.560000000000000000e+02,2.000000000000000000e+01,6.867549999999999664e-05,1.739630000000000148e-04,3.567222499999999946e-04,2.704273739141534877e-02,3.706578910772335977e-02,4.819221835930644765e-02
3.200000000000000000e+05,6.400000000000000133e-02,3.080000000000000000e+02,2.960000000000000000e+02,1.200000000000000000e+01,7.176500000000000153e-05,1.744463000000000784e-04,2.985629000000001362e-04,2.766732248478714212e-02,3.752597993073217980e-02,4.380404725256086679e-02
3.400000000000000000e+05,6.799999999999999101e-02,2.810000000000000000e+02,2.720000000000000000e+02,9.000000000000000000e+00,5.879579999999999702e-05,1.689750000000000009e-04,3.370473999999995269e-04,2.582694585253477934e-02,3.671508658932495783e-02,4.613236681779749049e-02
3.600000000000000000e+05,7.199999999999999456e-02,3.270000000000000000e+02,3.130000000000000000e+02,1.400000000000000000e+01,5.695620000000000197e-05,1.739826000000000848e-04,3.992274400000001304e-04,2.555005679452185957e-02,3.726228210666402557e-02,4.889953838895633870e-02
3.800000000000000000e+05,7.599999999999999811e-02,3.460000000000000000e+02,3.260000000000000000e+02,2.000000000000000000e+01,6.036774999999999813e-05,1.865624999999999879e-04,3.463634000000004385e-04,2.586870387282396572e-02,3.797455913207452294e-02,4.506655248498851740e-02
4.000000000000000000e+05,8.000000000000000167e-02,3.740000000000000000e+02,3.510000000000000000e+02,2.300000000000000000e+01,5.130140000000000318e-05,1.696880000000000057e-04,3.294313699999998064e-04,2.483374096063568209e-02,3.647508854454668131e-02,4.613869830702154590e-02
4.200000000000000000e+05,8.399999999999999134e-02,3.870000000000000000e+02,3.670000000000000000e+02,2.000000000000000000e+01,4.718810000000000311e-05,1.668912000000000531e-04,2.611223399999997507e-04,2.400516749819807741e-02,3.643310750746734522e-02,4.308979299166116467e-02
4.400000000000000000e+05,8.799999999999999489e-02,3.970000000000000000e+02,3.760000000000000000e+02,2.100000000000000000e+01,4.876920000000000056e-05,1.535618000000000042e-04,2.868897200000003998e-04,2.376916665069330956e-02,3.555512951041239766e-02,4.522455498731362683e-02
4.600000000000000000e+05,9.199999999999999845e-02,4.100000000000000000e+02,3.850000000000000000e+02,2.500000000000000000e+01,4.838394999999999946e-05,1.492510000000000386e-04,3.580512399999985170e-04,2.416422603203881997e-02,3.531011991026484359e-02,4.614068991798523506e-02
4.800000000000000000e+05,9.600000000000000200e-02,4.550000000000000000e+02,4.240000000000000000e+02,3.100000000000000000e+01,5.383220000000000274e-05,1.624940000000000607e-04,2.887410399999996427e-04,2.541745756473745912e-02,3.601631416115356338e-02,4.455783266794951375e-02
5.000000000000000000e+05,9.999999999999999167e-02,4.200000000000000000e+02,3.970000000000000000e+02,2.300000000000000000e+01,4.037944999999999843e-05,1.420971000000000528e-04,2.847520799999999925e-04,2.288441831251262007e-02,3.504328233833178124e-02,4.453267561773546074e-02
5.200000000000000000e+05,1.039999999999999952e-01,4.540000000000000000e+02,4.290000000000000000e+02,2.500000000000000000e+01,4.729244999999999814e-05,1.495890999999999736e-04,2.529202299999999595e-04,2.400764313089263566e-02,3.555474503895796751e-02,4.269133508116815245e-02
5.400000000000000000e+05,1.079999999999999988e-01,4.940000000000000000e+02,4.560000000000000000e+02,3.800000000000000000e+01,4.537394999999999948e-05,1.449604999999999752e-04,3.069817099999999350e-04,2.372664534469993286e-02,3.549438125097607172e-02,4.613131779297750812e-02
5.600000000000000000e+05,1.119999999999999885e-01,4.800000000000000000e+02,4.610000000000000000e+02,1.900000000000000000e+01,4.858539999999999734e-05,1.484769000000000149e-04,2.537980299999999462e-04,2.412482216210105543e-02,3.532784949943200414e-02,4.339246590304375595e-02
5.800000000000000000e+05,1.159999999999999920e-01,5.520000000000000000e+02,5.310000000000000000e+02,2.100000000000000000e+01,5.103955000000000162e-05,1.426698000000000820e-04,2.614685800000000112e-04,2.470241418580740658e-02,3.490238868290224117e-02,4.317734431402168310e-02
6.000000000000000000e+05,1.199999999999999956e-01,5.440000000000000000e+02,5.220000000000000000e+02,2.200000000000000000e+01,4.568940000000000338e-05,1.310556999999999792e-04,2.970742600000008944e-04,2.372934243327330661e-02,3.405751081157031707e-02,4.403187291384820512e-02
