step,nmobile,nbank,noutlet,outlet_deleted,sum_contact,max_contact,sum_ke_J,sum_erot_J,bank_contact,bank_ke_J,bank_erot_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+20,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+03,9.141000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.167779999999999939e-06,6.584359999999999946e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+03,9.141000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.192080000000000071e-06,1.201289999999999943e-10,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+03,9.141000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.216639999999999968e-06,1.660950000000000091e-10,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+03,9.141000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.241469999999999906e-06,1.983199999999999934e-10,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+04,9.141000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.266549999999999969e-06,2.255770000000000111e-10,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+04,9.141000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.291890000000000010e-06,2.542900000000000080e-10,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+04,9.141000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.317479999999999963e-06,2.794909999999999916e-10,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+04,9.141000000000000000e+03,1.300000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,1.343330000000000105e-06,3.051740000000000258e-10,0.000000000000000000e+00,2.253360000000000002e-08,1.416260000000000066e-12
1.800000000000000000e+04,9.141000000000000000e+03,4.520000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.369429999999999948e-06,3.240660000000000160e-10,0.000000000000000000e+00,8.048819999999999674e-08,5.728300000000000138e-12
2.000000000000000000e+04,9.141000000000000000e+03,7.530000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.395789999999999980e-06,3.449089999999999925e-10,0.000000000000000000e+00,1.346379999999999910e-07,1.040989999999999990e-11
2.200000000000000000e+04,9.141000000000000000e+03,1.083000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.422399999999999925e-06,3.572679999999999806e-10,0.000000000000000000e+00,1.958130000000000078e-07,1.714410000000000002e-11
